RAMA (RUS),"TIPO DE ACTIVIDAD (""Tipo 02_16"" del RUS)",CANTIDAD DE RELEVAMIENTOS,REMOTICIDAD FINAL,HERRAMIENTAS DE FABRICACIÓN,POSIBILIDAD DE DISTRIBUCIÓN,NECESIDAD DE TRASLADO CONSUMIDOR,EVALUACIÓN PRESENCIAL DE LA CALIDAD,VENTA EXPERIENCIA PRESENCIAL,HÁBITO DE CONSUMO REMOTO,USOS NO COMERCIALES,REMOTO FULL,REMOTO HUB,REMOTO MIX,R. COMPLEJO,NO REMOTO
COMERCIO,AZULEJOS,28,remotoHub,Infraestructura chica,Fundamental,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,FIAMBRERIA + KIOSCO,6,remotoComplex,Maquinaria liviana,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto incipiente,,1,2,3,4,4
SERVICIOS EMPRESARIALES,ESTUDIO DE ARQUITECTURA,42,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,4,2,2,1,0
COMERCIO,SEX SHOP,37,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
OTROS SERVICIOS,PELUQUERIA NIÑOS,25,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Público remoto potencial,,0,1,4,5,3
OTROS SERVICIOS,SPA,55,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
COMERCIO,AIRE ACONDICIONADO (VENTA Y COLOCACION),11,remotoHub,Maquinaria pesada,"Factible, no eficiente",No puede trasladarse,No requiere,Agrega algo de valor,Público remoto considerable,,2,4,4,2,3
SERVICIOS EMPRESARIALES,BORDADOS,5,remotoMix,Maquinaria liviana,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,AIRE ACONDICIONADO (VENTA Y REPARACION),14,remotoHub,Herramientas manuales,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,2
COMERCIO,FIAMBRERIA + GRANJA,7,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto incipiente,,1,3,4,4,4
ENSEÑANZA,ESCUELA DE ARTE,104,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto incipiente,,0,0,1,5,6
OTROS SERVICIOS,MASAJES,26,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Es excluyente,Público remoto potencial,,0,1,3,5,3
ENSEÑANZA,ESCUELA DE ARTES VISUALES,7,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto incipiente,,0,0,1,5,6
COMERCIO,LANAS E HILADOS,71,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
SERVICIOS EMPRESARIALES,ESTAMPADOS,22,remotoMix,Herramientas manuales,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Público remoto potencial,,1,2,4,3,1
PRODUCTOS DE MADERA,MARCOS DE MADERA,34,remotoMix,Herramientas manuales,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Público remoto potencial,,1,2,4,3,1
COMERCIO,REPARACION DE HELADERAS,48,remotoHub,Herramientas manuales,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,2
HOTELERIA Y GASTRONOMIA,BAR Y CONFITERIA,74,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto incipiente,,1,3,4,4,4
COMERCIO,BEBIDAS ALCOHOLICAS (VENTA),38,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,PESCA (VENTA DE ARTS.),30,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,BOMBONES Y AFINES (VENTA NO ELAB.),40,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,3,4,2,3
COMERCIO,BEBIDAS SIN ALCOHOL (VENTA),5,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,ART. SEGURIDAD INDUSTRIAL,20,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
COMERCIO,REPARACION PC,82,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
COMERCIO,INSUMOS PC E INTERNET,81,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,Opcional,No agrega valor,Público remoto potencial,,1,3,5,3,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",LOTERIA + KIOSCO,18,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
ENSEÑANZA,ARTES MARCIALES,42,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,ESCALERAS,5,remotoHub,Infraestructura chica,Fundamental,No requiere,Opcional,No agrega valor,Público remoto incipiente,,2,4,3,3,3
COMERCIO,RESTAURACIONES,6,remotoMix,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,Opcional,Agrega algo de valor,Público remoto potencial,,0,1,4,4,2
FABRICACION DE PRODUCTOS DE CAUCHO Y PLASTICOS,FABRICA DE ART.DE PLASTICO,26,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
TERRENOS FERROVIARIOS,TERRENOS FERROVIARIOS,52,espacioPublico,,,,,,,espacioPublico,,,,,
VENTA Y REP. DE VEHICULOS AUTOMOTORES,EQUIPOS GNC (COLOCACION Y VENTA),20,remotoComplex,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Público remoto potencial,,1,2,3,4,3
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CANCHAS DE TENIS,39,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,VERDULERIA + GRANJA,14,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
SERVICOS SOCIALES Y DE SALUD,"ACUPUNTURA, DIGITOPUNTURA",5,remotoComplex,Herramientas manuales,"Factible, no eficiente",No requiere,Opcional,Es excluyente,Público remoto potencial,,1,2,3,4,2
COMERCIO,ACCESORIOS DE PELUQUERIA,41,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,GRANJA + VERDULERIA,18,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,ALMACEN + CARNICERIA,23,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,ARTICULOS ODONTOLOGICOS,39,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
OTROS SERVICIOS,PELUQUERIA DAMAS,148,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Presencial,Agrega mucho valor,Público remoto potencial,,0,1,4,6,4
ENSEÑANZA,ESCUELA DE TEATRO,23,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,EQUIPOS DE AUDIO Y TELEVISION (VENTA),5,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
SERVICOS SOCIALES Y DE SALUD,CENTRO DE REHABILITACION,29,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto incipiente,,0,0,1,5,6
VENTA Y REP. DE VEHICULOS AUTOMOTORES,DEPOSITO DE AUTOMOTORES,53,sinUso,,,,,,,sinUso,,,,,
SERVICIOS EMPRESARIALES,GRABADO SOBRE METALES,6,remotoMix,Maquinaria liviana,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Sin público remoto,,1,2,3,2,3
SERVICIOS DE ASOCIACIONES,ASOCIACION DEPORTIVA Y SOCIAL,39,remotoComplex,No requiere,No se distribuyen,Performance,Presencial,No agrega valor,Público remoto potencial,,2,1,2,3,3
ELABORACIN DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,FABRICA DE BEBIDAS SIN ALCOHOL,18,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
SERVICIOS INFORMATICOS Y ACTIVIDADES CONEXAS,INTERNET E INSUMOS PC,2,remotoHub,Infraestructura chica,Factible de manera eficiente,Opcional,No requiere,No agrega valor,Público remoto potencial,,2,4,4,3,2
SERVICIOS EMPRESARIALES,SEGURIDAD PRIVADA,19,remotoHub,Infraestructura considerable,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,5,3,2,3
COMERCIO,REVESTIMIENTOS,25,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
OTROS SERVICIOS,DEPILACION Y PEDICURIA,49,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Público remoto potencial,,0,1,4,5,3
COMERCIO,TELEFONIA,99,remotoHub,Infraestructura considerable,Fundamental,No requiere,No requiere,Agrega mucho valor,Público remoto considerable,,3,4,3,3,4
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",DISCOTECA,85,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
COMERCIO,LENCERIA + MERCERIA,25,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,RODADOS PARA NIÑOS,11,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,RELOJES Y JOYAS (REPARACION),72,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,2,3,4,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CINE,34,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
COMERCIO,TABAQUERIA,20,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,ARTICULOS REGIONALES,59,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
SERVICOS SOCIALES Y DE SALUD,CONSULTORIO OFTALMOLOGICO,17,remotoNo,Maquinaria liviana,No se distribuyen,Se traslada una persona,Presencial,Agrega algo de valor,Sin público remoto,,0,1,3,3,5
SERVICIOS EMPRESARIALES,ESCRIBANIA,55,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
PRODUCTOS DE MADERA,"RESTAURACION, PATINADO DE MUEBLES",8,remotoMix,Herramientas manuales,Fundamental,Se traslada un bien,Opcional,Agrega algo de valor,Público remoto potencial,,0,2,5,4,2
SERVICIO DE TRANSPORTE,TRANSPORTE FERROVIARO,7,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Opcional,Agrega mucho valor,Sin público remoto,,0,0,2,3,5
OTROS SERVICIOS,CAMAS SOLARES,8,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Opcional,Agrega mucho valor,Sin público remoto,,0,0,2,3,5
COMERCIO,ARMERIA,27,remotoNo,Infraestructura chica,"Factible, no eficiente",No requiere,Presencial,No agrega valor,Sin público remoto,,2,3,2,3,4
COMERCIO,PASTILLAS PARA DEPORTES,6,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,PERFUMERIA Y ARTICULOS DE LIMPIEZA,51,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,FERRETERIA + PINTURERIA,61,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
HOTELERIA Y GASTRONOMIA,SERVICIO DE CATTERING,23,remotoHub,Infraestructura considerable,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,4,3,2,3
COMERCIO,GALLETITERIA,26,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,PLASTIFICADO DE PISOS,20,remotoHub,Maquinaria liviana,Fundamental,No puede trasladarse,Opcional,No agrega valor,Público remoto considerable,,2,5,5,2,3
"FABRICACION DE ARTICULOS DE MARROQUINERIA, TALABARTERIA Y CALZADO Y DE SUS PARTES",FABRICA DE CALZADO,13,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
OTROS SERVICIOS,TAROT,17,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,No requiere,Agrega mucho valor,Público remoto potencial,,1,2,3,5,3
CALLE,CALLE,46,espacioPublico,,,,,,,espacioPublico,,,,,
SERVICIOS DE ASOCIACIONES,SINDICATO,195,asociacionesOtras,,,,,,,asociacionesOtras,,,,,
SERVICIOS EMPRESARIALES,CONSULTORA,5,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,4,2,2,1,0
COMERCIO,TAPIZADOS (REPARACION),11,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,2,3,4,2
COMERCIO,KIOSCO + INTERNET,15,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega mucho valor,Sin público remoto,,1,2,2,3,5
COMERCIO,REPARACION DE LAVARROPAS,20,remotoHub,Herramientas manuales,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,2
SERVICIOS EMPRESARIALES,JARDINERIA,6,remotoHub,Infraestructura considerable,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,5,3,2,3
EDIFICIOS,CLAUSURADO,5,sinUso,,,,,,,sinUso,,,,,
COMERCIO,CARNICERIA + ALMACEN,17,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
ENSEÑANZA,ENSEÑANZA - UNIVERSIDAD,152,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto incipiente,,0,0,1,5,6
COMERCIO POR MAYOR,MAYORISTA ARTICULOS IMPORTADOS,11,remotoHub,Infraestructura considerable,Fundamental,No requiere,Presencial,No agrega valor,Público remoto considerable,,3,4,3,3,4
SERVICIOS EMPRESARIALES,GRABADO DE JOYAS,35,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,Presencial,No agrega valor,Público remoto incipiente,,1,2,2,5,4
COMERCIO,"ART. PLOMERIA , GAS",36,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
COMERCIO,REPARACION CONTROL REMOTO,28,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
COMERCIO,PRODUCTOS MEDICOS (VENTA),14,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,No agrega valor,Público remoto potencial,,2,4,4,4,3
COMERCIO,SAHUMERIOS,8,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,3
COMERCIO,MIEL DE ABEJAS (VENTA),9,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
FABRICACIN DE TEJIDOS DE PUNTO,FABRICACION DE TEJIDOS DE PUNTO,5,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
SERVICIOS DE ASOCIACIONES,ASOCIACIONES EMPRESARIALES Y DE EMPLEADORES,55,remotoFull,No requiere,No se distribuyen,No requiere,No requiere,No agrega valor,Público remoto potencial,,4,3,1,1,1
COMERCIO,PINTURERIA ARTISTICA,6,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",PELOTERO,3,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CALESITA,3,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
SERVICOS SOCIALES Y DE SALUD,SANATORIO,26,servicioSi,,,,,,,servicioSi,,,,,
VENTA AL POR MAYOR DE ARTICULOS DE USO DOMESTICO O PERSONAL,VENTA POR MAYOR DE ART. USO DOMESTICO,5,remotoHub,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
"FABRICACION DE MUEBLES Y COLCHONES, INDUSTRIAS MANUFACTURERAS",FABRICA DE COLCHONES,14,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
ENSEÑANZA,ESCUELA DE MUSICA Y ARTE,12,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
INTERMEDIACION FINANCIERA Y AUXILIARES,GIROS DE DINERO,42,remotoNo,Infraestructura chica,"Factible, no eficiente",Se traslada un bien,Opcional,Agrega algo de valor,Sin público remoto,,0,1,3,3,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,VENTA DE AUTOMOTORES NUEVOS,29,remotoNo,Infraestructura considerable,No se distribuyen,No requiere,Presencial,Agrega mucho valor,Público remoto incipiente,,1,1,2,4,5
ENSEÑANZA,ENSEÑANZA DE INFORMATICA,20,remotoComplex,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto potencial,,0,0,2,5,5
COMERCIO,SEDERIA,3,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,REPARACION TELEFONOS,13,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
COMERCIO,PIELES (VENTA),12,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,3,5,4,3
SERVICIOS EMPRESARIALES,INFRAESTRUCTURA INFORMATICA,3,remotoHub,Infraestructura chica,Fundamental,No requiere,No requiere,No agrega valor,Público remoto potencial,,3,5,3,3,2
COMERCIO,BUCEO (VENTA DE ARTS.),3,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO POR MAYOR,HELADERAS Y BALANZAS COMERCIALES (VTA),11,remotoHub,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
COMERCIO,ALMACEN + MAXIKIOSCO,10,remotoMix,Herramientas manuales,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,1
ELABORACION DE PRODUCTOS ALIMENTICOS Y BEBIDA,ELAB. PROD. LACTEOS,8,remotoHub,Infraestructura considerable,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,5,2,2,3
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",LOTERIA + LOCUTORIO,10,remotoNo,Maquinaria liviana,"Factible, no eficiente",Se traslada una persona,No requiere,Agrega mucho valor,Sin público remoto,,1,2,2,4,5
COMERCIO,"REPUESTOS PARA COCINAS, CALEFONES",29,remotoMix,Infraestructura chica,"Factible, no eficiente",Opcional,Opcional,No agrega valor,Público remoto potencial,,1,2,4,3,2
ELABORACION DE PRODUCTOS ALIMENTICOS Y BEBIDA,FRIGORIFICO,68,remotoHub,Infraestructura considerable,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,4,3,2,3
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",AGENCIA AFIP,14,servicioSi,,,,,,,servicioSi,,,,,
COMERCIO,PARAGUAS,4,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
FABRICACION DE PRODUCTOS TEXTILES,FAB. DE HILOS DE COSER,2,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
FABRICACION DE MAQUINARIA Y APARATOS ELECTRICOS NCP,FABRICACION DE ART. ELECTRICOS,13,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
FABRICACION DE APARATOS DE USO DOMESTICO NCP,FAB. DE HELADERAS,4,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
HOTELERIA Y GASTRONOMIA,BAR + INTERNET,4,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,Opcional,Agrega mucho valor,Sin público remoto,,0,1,3,3,5
SERVICIOS INFORMATICOS Y ACTIVIDADES CONEXAS,INTERNET + LOTERIA,2,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
SERVICOS SOCIALES Y DE SALUD,CLINICA PSIQUIATRICA,11,servicioSi,,,,,,,servicioSi,,,,,
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",SALON DE BAILE,18,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
SERVICIOS EMPRESARIALES,RECARGA DE CARTUCHOS,20,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto potencial,,2,3,2,4,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",RADIO,22,remotoNo,Infraestructura considerable,No se distribuyen,No requiere,No requiere,Agrega mucho valor,Público remoto considerable,,3,3,2,2,4
ELABORACION DE PRODUCTOS ALIMENTICOS Y BEBIDA,HELADERIA + CAFE,4,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
SERVICOS SOCIALES Y DE SALUD,TRAUMATOLOGIA,1,remotoComplex,Infraestructura considerable,"Factible, no eficiente",Se traslada una persona,Presencial,Es excluyente,Público remoto incipiente,,0,0,1,6,6
COMERCIO,SERVICIOS GENERALES,12,remotoFull,Digital,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,5,3,2,0,1,
CONSTRUCCION,CONSTRUCTORA,18,remotoHub,No requiere,Fundamental,No puede trasladarse,No requiere,Agrega algo de valor,Público remoto considerable,,3,4,4,1,2
VENTA AL POR MAYOR DE ALIMENTOS Y BEBIDAS,VENTA POR MAYOR DE ALIMENTOS Y BEBIDAS,20,remotoHub,Infraestructura considerable,Fundamental,No requiere,No requiere,Agrega mucho valor,Público remoto considerable,,3,4,3,3,4
ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,MASAS Y SANDWICHES (ELAB. Y VENTA),11,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
SERVICIOS AUXILIARES A LA ACTIVIDAD FINANCIERA,BOLSA DE COMERCIO,2,remotoFull,Infraestructura considerable,No se distribuyen,No requiere,No requiere,No agrega valor,Público remoto potencial,,3,3,1,2,2
COMERCIO,SOUVENIRS,54,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
INTERMEDIACION FINANCIERA Y AUXILIARES,SERVICIOS FINANCIEROS (OTROS),24,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
COMERCIO,INSTRUMENTAL MEDICO,40,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",SALON DE JUEGOS RECREATIVOS,8,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
COMERCIO,HERRERIA + PLOMERIA,4,remotoHub,Maquinaria pesada,Fundamental,No puede trasladarse,Opcional,No agrega valor,Público remoto considerable,,2,5,5,2,3
BAJO AUTOPISTA,BAJO AUTOPISTA,665,espacioPublico,,,,,,,espacioPublico,,,,,
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",PATINAJE SOBRE HIELO,1,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
OTROS SERVICIOS,ASTROLOGIA,1,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,4,2,2,1,0
HOTELERIA Y GASTRONOMIA,RESTAURANTE - CAFE,109,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
SERVICIOS EMPRESARIALES,DISEÑOS PUBLICITARIOS,8,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,4,2,2,1,0
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",BINGO,4,remotoComplex,Infraestructura considerable,Factible de manera eficiente,Se traslada una persona,No requiere,Es excluyente,Público remoto incipiente,,1,2,1,5,5
INTERMEDIACION FINANCIERA Y AUXILIARES,CASA DE CAMBIO,51,remotoNo,Infraestructura chica,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,3,4
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",SERVICIOS PUBLICOS,45,servicioSi,,,,,,,servicioSi,,,,,
